timestamps,TP9,AF7
1533058235,80.078,30.762
1533058235,74.707,32.715
1533058235,64.453,32.715
1533058235,56.641,29.785
1533058235,66.895,29.297
1533058235,70.312,30.762
1533058235,53.223,33.691
1533058235,41.992,32.227
1533058235,43.945,27.832
1533058235,58.594,26.855
1533058235,55.664,26.855
1533058235,49.805,30.762
1533058235,51.27,31.738
1533058235,35.645,31.25
1533058235,46.875,32.715
1533058235,60.547,25.879
1533058235,48.828,20.02
1533058235,38.574,20.02
1533058235,36.621,22.461
1533058235,43.457,21.484
1533058235,43.945,21.973
1533058235,38.086,23.438
1533058235,35.645,18.066
1533058235,24.414,15.625
1533058235,20.508,12.695
1533058235,30.273,11.23
1533058235,23.438,19.531
1533058235,11.719,21.484
1533058235,11.719,18.555
1533058235,26.855,20.02
1533058235,45.898,22.949
1533058235,53.223,22.949
1533058235,41.992,18.555
1533058235,17.578,13.672
1533058235,19.531,15.137
1533058235,36.133,17.09
1533058235,35.156,19.043
1533058235,29.297,20.508
1533058235,21.973,17.578
1533058235,21.973,14.648
1533058235,31.738,10.254
1533058235,31.25,7.812
1533058235,28.32,11.23
1533058235,15.625,13.184
1533058235,5.371,8.789
1533058235,21.484,4.883
1533058235,25.879,8.789
1533058235,9.766,12.207
1533058235,4.883,13.672
1533058235,8.789,16.602
1533058235,24.414,16.602
1533058235,30.273,13.672
1533058235,19.043,13.184
1533058235,23.926,19.043
1533058235,15.137,20.02
1533058235,12.207,21.484
1533058235,26.367,27.832
1533058235,26.855,33.203
1533058235,14.648,36.621
1533058235,-1.953,36.133
1533058235,21.484,34.668
1533058235,29.297,30.273
1533058235,9.766,26.367
1533058235,4.883,23.926
1533058235,0,26.855
1533058235,17.09,30.273
1533058235,31.738,30.273
1533058235,12.695,34.18
1533058235,5.859,35.156
1533058235,9.766,32.715
1533058235,5.371,31.25
1533058235,20.508,32.227
1533058235,23.438,31.25
1533058235,16.602,26.855
1533058235,14.16,30.273
1533058235,15.625,33.691
1533058235,39.062,37.109
1533058235,38.086,40.039
1533058235,19.531,32.715
1533058235,13.184,26.855
1533058235,21.973,27.832
1533058235,37.109,28.809
1533058235,30.762,29.785
1533058235,21.973,30.762
1533058235,17.578,24.414
1533058235,15.137,22.461
1533058235,23.438,26.367
1533058235,28.32,24.902
1533058235,27.344,25.391
1533058235,34.668,28.32
1533058235,26.855,28.32
1533058235,22.949,28.809
1533058235,33.691,29.785
1533058235,31.738,28.32
1533058235,16.113,23.926
1533058235,9.277,21.484
1533058235,26.855,27.344
1533058235,40.527,32.227
1533058235,32.715,29.297
1533058235,21.973,29.297
1533058235,14.16,29.297
1533058235,18.555,24.902
1533058235,30.273,28.809
1533058235,28.32,36.621
1533058235,18.555,39.551
1533058235,9.766,36.621
1533058235,17.09,32.715
1533058235,30.273,32.715
1533058235,32.227,40.039
1533058235,20.996,46.387
1533058235,2.441,41.504
1533058235,8.789,37.109
1533058235,20.508,37.109
1533058235,14.648,38.574
1533058235,4.395,38.574
